"previsao","desvio_padrao","data"
1.253,0.992,"2023-02-25"
0.0495782871750697,0.970368009294585,"2023-06-24"
-0.0140873382345477,0.974544025981979,"2023-06-25"
0.00400282280494637,0.978698074811078,"2023-06-26"
-0.00113737528985462,0.982830438463164,"2023-06-27"
0.000323177570681701,0.986941393439102,"2023-06-28"
0.0495773086051827,0.970376127615896,"2023-06-24"
-0.0140873459985782,0.974552527090603,"2023-06-25"
0.00400290622599289,0.978706955231499,"2023-06-26"
-0.00113742207053833,0.98283969478711,"2023-06-27"
0.000323197420450887,0.986951022323594,"2023-06-28"
