retorno,var,se,data
0.008,-0.21,-1.4,2023-06-25
0.03935059104063335,-2.534925290633154,-3.894472183501936,2023-06-24
0.03934983303537393,-2.5349279878454767,-3.894477205388541,2023-06-24
0.03935037687093239,-2.5349286969172717,-3.8944837088128432,2023-06-24
0.03935043625069336,-2.534939388465408,-3.894518320934728,2023-06-24
0.03935010404190799,-2.534925813710311,-3.894477102585303,2023-06-24
0.03935015510984262,-2.5349318283973328,-3.894487300162208,2023-06-24
0.039349937756704353,-2.5349302850034072,-3.894484942172717,2023-06-24
0.0393499309996226,-2.5349289272207822,-3.8944826808301385,2023-06-24
0.03935031408031147,-2.5349278659538528,-3.894474427936846,2023-06-24
